影驰（Galaxy）GeForce GTX 1050 Ti大将 1354(1468)MHz/7GHz 4G/128Bit D5 PCI-E吃鸡显卡,【三年质保 爆款推荐】WE推荐显卡，高品质散热，稳定供电，全数字接口，办公/游戏之选择！★1050Ti，升级gamer★,1.7万+,影驰京东自营旗舰店,1499.00,3472255
华硕（ASUS）DUAL-GeForce GTX1060-O6G 1569-1809MHz 6G/8GHz GDDR5 雪豹系列游戏“吃鸡”显卡,"【吃鸡游戏显卡】雪豹1060,6G大显存,高贵纯白配色!11片翼形风扇,超强散热!2*HDMI!突破性能瓶颈!【点我】雪豹1050ti游戏显卡,可吃鸡",1.8万+,华硕京东自营旗舰店,3099.00,3182191
华硕（ASUS）DUAL-GeForce GTX1050TI-O4G-V2 1341-1455MHz 7008MHz GDDR5 雪豹游戏显卡 无需外接电源,"【即插即用】霸气雪豹,双风强散热,频率升级!实测游戏畅玩！【点我】1050雪豹，价格更亲民！",1.2万+,华硕京东自营旗舰店,1699.00,4813197
微星（MSI）GeForce GTX 1060 GAMING X 6G GDDR5 192BIT PCI-E 3.0 旗舰红龙 吃鸡显卡,"酷炫RGB龙魂灯,龙纹铝制合金强化背板,零噪智能风扇散热技术,PCB强化散热装甲,畅玩游戏盛宴!点我升级1070红龙",1万+,微星京东自营旗舰店,3099.00,3295240
七彩虹(Colorful)iGame1060烈焰战神S-6GD5 Top GTX1060 1594-1809MHz/8008MHz6G192bit吃鸡显卡,【吃鸡显卡，RNG力荐】高频规格，大号三风散热，金属加固背板，IPP数字供电，全高清输出，给你好看！【买U-Top抢到赚到！】,9700+,七彩虹京东自营旗舰...,3099.00,3342660
七彩虹（Colorful）iGame1050Ti 烈焰战神S-4GD5GTX1050Ti 1366-1480MHz/7000MHz 4G/128bit GDDR5 显卡,前置可侦测负载变色igame信仰灯，镀银PCB更耐用，热管直触，金属背板，物超所值！【U系列好价来袭】,1.4万+,七彩虹京东自营旗舰...,1499.00,3543805
华硕（ASUS）ROG STRIX-GeForce GTX1080-A8G-GAMING 1670-1835MHz 10010MHz猛禽发烧级专业电竞“吃鸡”显卡,"【吃鸡显卡】ROG诚意力荐,10相超合金供电,RGB炫彩灯效,热管直触三风扇,低躁静音!【点我】抢猛禽1080Ti",5700+,华硕京东自营旗舰店,5999.00,3340788
蓝宝石（Sapphire）RX580 8G D5 超白金 OC 1340-1411MHz/8000MHz 8GB/256bit GDDR5 DX12 吃鸡显卡,超白金系列新升级，8G大显存，全新Dual-X 四热管双风扇散热系统，智能电路保护设计【点此：升级RX580 8G极光特别版】,8800+,蓝宝石京东自营旗舰...,3159.00,4879936
微星 MSI GTX 1050 Ti GAMING X 4G 128BIT GDDR5 PCI-E 3.0 旗舰红龙 吃鸡显卡,"炫白龙魂灯,刀锋4代智能风扇,8毫米S型热管,非公3+1强化供电,畅玩游戏盛宴!",7900+,微星京东自营旗舰店,1599.00,3977224
微星 MSI GTX 1080 Ti GAMING X TRIO 352BIT 11GB GDDR5X PCI-E 3.0 微星飓龙 吃鸡显卡,"RGB炫光灯效，新一代三风扇飓龙,零动空间智能停转,搭配8*2超导热管,不一样的三风,不一样的吃鸡体验!升级高规1080Ti闪电",500+,微星京东自营旗舰店,7699.00,5660744
