Python开发工程师,北京·三里屯,18k-25k,经验1-3年 / 本科,天下秀,"移动互联网,广告营销 / C轮","“团队氛围好,五险一金,节日福利”","云计算, 中级",https://www.lagou.com/jobs/4166097.html
Python研发工程师,杭州·西溪,15k-23k,经验1-3年 / 本科,酷家乐,移动互联网 / D轮及以上,“期权激励、年度旅游、年终丰厚、零食水果”,"后端开发, Java, 系统开发, golang",https://www.lagou.com/jobs/3712940.html
Python开发工程师,深圳·科技园,15k-30k,经验1-3年 / 本科,Shopee,电子商务 / 上市公司,“东南亚跨境电商平台、福利棒、美女多”,"后端开发, 全栈, MySQL",https://www.lagou.com/jobs/2614417.html
python工程师,北京·海淀区,15k-30k,经验3-5年 / 本科,Face++,"移动互联网,硬件 / C轮",“平台好；福利多”,"后端开发, 后端, 爬虫, 测试平台",https://www.lagou.com/jobs/3940038.html
Python 开发工程师,北京·酒仙桥,25k-35k,经验3-5年 / 本科,360,"移动互联网,游戏 / 上市公司",“五险一金 补充医疗 免费三餐和班车”,"C++, Go",https://www.lagou.com/jobs/4022085.html
Python开发工程师,成都·武侯区,9k-16k,经验3-5年 / 本科,顺网科技,"游戏,文化娱乐 / 上市公司","“上市公司,大数据,大平台,福利健全”","游戏, 直播, 中级, Java, 后端",https://www.lagou.com/jobs/4234719.html
Python开发工程师,北京·中关村,18k-28k,经验1-3年 / 硕士,爱奇艺,"广告营销,文化娱乐 / D轮及以上",“14薪，12天带薪年假，地铁周边”,"云计算, 直播, 资深, 高级, django",https://www.lagou.com/jobs/3029530.html
Python开发工程师,深圳·深圳湾,15k-30k,经验3-5年 / 本科,商汤科技,移动互联网 / B轮,"“人工智能,福利好,技术大牛多,弹性工作”","高级, 大数据, Java",https://www.lagou.com/jobs/4124555.html
Python开发工程师（中级）,深圳·翻身路,10k-15k,经验1-3年 / 本科,极光,"移动互联网,数据服务 / D轮及以上",“五险一金、14薪/年、下午茶、工作餐等等”,"五险一金, 文体活动, 团建旅游, 美味晚餐",https://www.lagou.com/jobs/1411029.html
技术工程部-python开发工程师,北京·五道口,20k-40k,经验3-5年 / 本科,搜狗,"移动互联网,数据服务 / C轮",“技术先进、团队气氛佳”,"信息安全, 硬件制造, Java, 运维",https://www.lagou.com/jobs/3119907.html
Python,北京·大山子,15k-30k,经验1-3年 / 不限,洋葱数学,"移动互联网,教育 / C轮","“年假15天,免费早午餐,技术氛围好,弹性不打卡”","中级, 全栈, php, Java",https://www.lagou.com/jobs/3856780.html
python研发工程师,北京·中关村,15k-20k,经验3-5年 / 大专,先花花,"移动互联网,金融 / B轮",“带薪年假”,"大数据, Java",https://www.lagou.com/jobs/4139271.html
